,Location,Date,CCG,Radius,lat/long,distance_from_LHR,Pollutant,Indicator Value (R µg/m3)
0, Hounslow 2 - Cranford,2004,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
1, Hounslow 2 - Cranford,2005,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
2, Hounslow 2 - Cranford,2006,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
3, Hounslow 2 - Cranford,2007,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
4, Hounslow 2 - Cranford,2008,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
5, Hounslow 2 - Cranford,2009,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
6, Hounslow 2 - Cranford,2010,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
7, Hounslow 2 - Cranford,2011,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
8, Hounslow 2 - Cranford,2012,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
9, Hounslow 2 - Cranford,2013,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
10, Hounslow 2 - Cranford,2014,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
11, Hounslow 2 - Cranford,2015,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
12, Hounslow 2 - Cranford,2016,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
13, Hounslow 2 - Cranford,2017,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
14, Hounslow 2 - Cranford,2018,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
15, Hounslow 2 - Cranford,2019,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
16, Hounslow 2 - Cranford,2020,Hounslow,Inner,"[51.4686132, -0.3613471]",6.440136508074675,Carbon monoxide,
17, Hounslow 4 - Chiswick High Road,2004,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
18, Hounslow 4 - Chiswick High Road,2005,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
19, Hounslow 4 - Chiswick High Road,2006,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
20, Hounslow 4 - Chiswick High Road,2007,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
21, Hounslow 4 - Chiswick High Road,2008,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
22, Hounslow 4 - Chiswick High Road,2009,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
23, Hounslow 4 - Chiswick High Road,2011,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
24, Hounslow 4 - Chiswick High Road,2012,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
25, Hounslow 4 - Chiswick High Road,2013,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
26, Hounslow 4 - Chiswick High Road,2014,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
27, Hounslow 4 - Chiswick High Road,2015,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
28, Hounslow 4 - Chiswick High Road,2016,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
29, Hounslow 4 - Chiswick High Road,2017,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
30, Hounslow 4 - Chiswick High Road,2018,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
31, Hounslow 4 - Chiswick High Road,2019,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
32, Hounslow 4 - Chiswick High Road,2020,Hounslow,Inner,"[51.492507, -0.257252]",13.872240502797098,Carbon monoxide,
33, Hounslow Brentford,2004,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,0.8174028579925703
34, Hounslow Brentford,2005,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,0.8392115285668963
35, Hounslow Brentford,2006,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,0.5013910806898613
36, Hounslow Brentford,2007,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,0.5391916818669604
37, Hounslow Brentford,2008,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
38, Hounslow Brentford,2009,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
39, Hounslow Brentford,2010,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
40, Hounslow Brentford,2011,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
41, Hounslow Brentford,2012,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
42, Hounslow Brentford,2013,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
43, Hounslow Brentford,2014,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
44, Hounslow Brentford,2015,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
45, Hounslow Brentford,2016,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
46, Hounslow Brentford,2017,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
47, Hounslow Brentford,2018,Hounslow,Inner,"[51.4620974, -0.3617294]",6.4724462662062106,Carbon monoxide,
