,Year,Area Name,heathrow_distance,CCG_Poll_Map,Radius Location,LAT,LONG,Indicator Name,Value,Indicator Type
0,2003,NHS Berkshire West CCG,49791.74229301535,Reading,Outer,51.4458,-1.16963,<75 Coronary Heart Disease,57.82,Health - Mortality
1,2003,NHS Brent CCG,16247.542448550688,No Pollution Readings,Outer,51.5644,-0.27568000000000004,<75 Coronary Heart Disease,76.04,Health - Mortality
2,2003,NHS Buckinghamshire CCG,38818.06152693847,No Pollution Readings,Outer,51.7414,-0.8064399999999999,<75 Coronary Heart Disease,51.21,Health - Mortality
3,2003,NHS Croydon CCG,28645.84070326317,No Pollution Readings,Outer,51.36600000000001,-0.07761,<75 Coronary Heart Disease,65.63,Health - Mortality
4,2003,NHS Ealing CCG,11465.530928651922,Ealing,Inner,51.5244,-0.31405,<75 Coronary Heart Disease,82.91,Health - Mortality
5,2003,NHS East Berkshire CCG,15803.713433617613,East Berkshire,Outer,51.4541,-0.6802600000000001,<75 Coronary Heart Disease,67.88,Health - Mortality
6,2003,NHS Guildford and Waverley CCG,33590.833861625535,No Pollution Readings,Outer,51.1811,-0.59422,<75 Coronary Heart Disease,54.07,Health - Mortality
7,2003,NHS Hammersmith And Fulham CCG,16573.145489786915,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease,75.75,Health - Mortality
8,2003,NHS Harrow CCG,16107.86486926796,No Pollution Readings,Outer,51.5946,-0.33603,<75 Coronary Heart Disease,66.75,Health - Mortality
9,2003,NHS Herts Valleys CCG,29114.522131028312,Watford,Outer,51.7317,-0.45521000000000006,<75 Coronary Heart Disease,50.97,Health - Mortality
10,2003,NHS Hillingdon CCG,7458.185529065558,Hillingdon,Inner,51.5366,-0.4418,<75 Coronary Heart Disease,65.95,Health - Mortality
11,2003,NHS Hounslow CCG,5336.9847118736625,Hounslow,Inner,51.4624,-0.37847,<75 Coronary Heart Disease,85.5,Health - Mortality
12,2003,NHS Kingston CCG,14640.309417301552,South West London,Inner,51.3929,-0.28371999999999997,<75 Coronary Heart Disease,52.39,Health - Mortality
13,2003,NHS Merton CCG,19616.70838254888,South West London,Outer,51.4106,-0.18867,<75 Coronary Heart Disease,57.05,Health - Mortality
14,2003,NHS North West Surrey CCG,12083.807829583408,Surrey Heartlands,Inner,51.3683,-0.5151899999999999,<75 Coronary Heart Disease,54.8,Health - Mortality
15,2003,NHS Oxfordshire CCG,66982.40788744198,Oxford,Outer,51.7715,-1.29146,<75 Coronary Heart Disease,53.73,Health - Mortality
16,2003,NHS Richmond CCG,11948.414951951743,South West London,Inner,51.4403,-0.28911,<75 Coronary Heart Disease,54.17,Health - Mortality
17,2003,NHS Surrey Heath CCG,23497.239588936216,No Pollution Readings,Outer,51.3281,-0.70434,<75 Coronary Heart Disease,48.03,Health - Mortality
18,2003,NHS Sutton CCG,23268.289513397358,South West London,Outer,51.3576,-0.17227,<75 Coronary Heart Disease,53.69,Health - Mortality
19,2003,NHS Wandsworth CCG,17762.401872896982,South West London,Outer,51.4524,-0.20027999999999999,<75 Coronary Heart Disease,71.29,Health - Mortality
20,2004,NHS Berkshire West CCG,49791.74229301535,Reading,Outer,51.4458,-1.16963,<75 Coronary Heart Disease,55.28,Health - Mortality
21,2004,NHS Brent CCG,16247.542448550688,No Pollution Readings,Outer,51.5644,-0.27568000000000004,<75 Coronary Heart Disease,68.2,Health - Mortality
22,2004,NHS Buckinghamshire CCG,38818.06152693847,No Pollution Readings,Outer,51.7414,-0.8064399999999999,<75 Coronary Heart Disease,46.66,Health - Mortality
23,2004,NHS Croydon CCG,28645.84070326317,No Pollution Readings,Outer,51.36600000000001,-0.07761,<75 Coronary Heart Disease,59.2,Health - Mortality
24,2004,NHS Ealing CCG,11465.530928651922,Ealing,Inner,51.5244,-0.31405,<75 Coronary Heart Disease,70.77,Health - Mortality
25,2004,NHS East Berkshire CCG,15803.713433617613,East Berkshire,Outer,51.4541,-0.6802600000000001,<75 Coronary Heart Disease,62.29,Health - Mortality
26,2004,NHS Guildford and Waverley CCG,33590.833861625535,No Pollution Readings,Outer,51.1811,-0.59422,<75 Coronary Heart Disease,49.1,Health - Mortality
27,2004,NHS Hammersmith And Fulham CCG,16573.145489786915,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease,65.68,Health - Mortality
28,2004,NHS Hammersmith And Fulham CCG,16573.145489786915,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease,65.68,Health - Mortality
29,2004,NHS Hammersmith And Fulham CCG,16573.145489786915,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease,65.68,Health - Mortality
30,2004,NHS Harrow CCG,16107.86486926796,No Pollution Readings,Outer,51.5946,-0.33603,<75 Coronary Heart Disease,62.85999999999999,Health - Mortality
31,2004,NHS Herts Valleys CCG,29114.522131028312,Watford,Outer,51.7317,-0.45521000000000006,<75 Coronary Heart Disease,48.24,Health - Mortality
32,2004,NHS Herts Valleys CCG,29114.522131028312,Watford,Outer,51.7317,-0.45521000000000006,<75 Coronary Heart Disease,48.24,Health - Mortality
33,2004,NHS Hillingdon CCG,7458.185529065558,Hillingdon,Inner,51.5366,-0.4418,<75 Coronary Heart Disease,62.34,Health - Mortality
34,2004,NHS Hounslow CCG,5336.9847118736625,Hounslow,Inner,51.4624,-0.37847,<75 Coronary Heart Disease,74.39,Health - Mortality
35,2004,NHS Kingston CCG,14640.309417301552,South West London,Inner,51.3929,-0.28371999999999997,<75 Coronary Heart Disease,48.38,Health - Mortality
36,2004,NHS Merton CCG,19616.70838254888,South West London,Outer,51.4106,-0.18867,<75 Coronary Heart Disease,46.83,Health - Mortality
37,2004,NHS North West Surrey CCG,12083.807829583408,Surrey Heartlands,Inner,51.3683,-0.5151899999999999,<75 Coronary Heart Disease,52.68,Health - Mortality
38,2004,NHS Oxfordshire CCG,66982.40788744198,Oxford,Outer,51.7715,-1.29146,<75 Coronary Heart Disease,51.04,Health - Mortality
39,2004,NHS Oxfordshire CCG,66982.40788744198,Oxford,Outer,51.7715,-1.29146,<75 Coronary Heart Disease,51.04,Health - Mortality
40,2004,NHS Oxfordshire CCG,66982.40788744198,Oxford,Outer,51.7715,-1.29146,<75 Coronary Heart Disease,51.04,Health - Mortality
41,2004,NHS Richmond CCG,11948.414951951743,South West London,Inner,51.4403,-0.28911,<75 Coronary Heart Disease,51.52,Health - Mortality
42,2004,NHS Surrey Heath CCG,23497.239588936216,No Pollution Readings,Outer,51.3281,-0.70434,<75 Coronary Heart Disease,43.35999999999999,Health - Mortality
43,2004,NHS Sutton CCG,23268.289513397358,South West London,Outer,51.3576,-0.17227,<75 Coronary Heart Disease,48.54,Health - Mortality
44,2004,NHS Wandsworth CCG,17762.401872896982,South West London,Outer,51.4524,-0.20027999999999999,<75 Coronary Heart Disease,62.6,Health - Mortality
45,2005,NHS Berkshire West CCG,49791.74229301535,Reading,Outer,51.4458,-1.16963,<75 Coronary Heart Disease,52.84,Health - Mortality
46,2005,NHS Berkshire West CCG,49791.74229301535,Reading,Outer,51.4458,-1.16963,<75 Coronary Heart Disease,52.84,Health - Mortality
47,2005,NHS Brent CCG,16247.542448550688,No Pollution Readings,Outer,51.5644,-0.27568000000000004,<75 Coronary Heart Disease,64.23,Health - Mortality
48,2005,NHS Buckinghamshire CCG,38818.06152693847,No Pollution Readings,Outer,51.7414,-0.8064399999999999,<75 Coronary Heart Disease,45.95000000000001,Health - Mortality
49,2005,NHS Croydon CCG,28645.84070326317,No Pollution Readings,Outer,51.36600000000001,-0.07761,<75 Coronary Heart Disease,52.57,Health - Mortality
50,2005,NHS Ealing CCG,11465.530928651922,Ealing,Inner,51.5244,-0.31405,<75 Coronary Heart Disease,69.72,Health - Mortality
51,2005,NHS East Berkshire CCG,15803.713433617613,East Berkshire,Outer,51.4541,-0.6802600000000001,<75 Coronary Heart Disease,56.84,Health - Mortality
52,2005,NHS Guildford and Waverley CCG,33590.833861625535,No Pollution Readings,Outer,51.1811,-0.59422,<75 Coronary Heart Disease,40.63,Health - Mortality
53,2005,NHS Hammersmith And Fulham CCG,16573.145489786915,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease,58.46,Health - Mortality
54,2005,NHS Hammersmith And Fulham CCG,16573.145489786915,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease,58.46,Health - Mortality
55,2005,NHS Harrow CCG,16107.86486926796,No Pollution Readings,Outer,51.5946,-0.33603,<75 Coronary Heart Disease,51.330000000000005,Health - Mortality
56,2005,NHS Herts Valleys CCG,29114.522131028312,Watford,Outer,51.7317,-0.45521000000000006,<75 Coronary Heart Disease,46.04999999999999,Health - Mortality
