,Year,Area Name,heathrow_distance,CCG_Poll_Map,Radius Location,LAT,LONG,Indicator Name,Value,Indicator Type
0,2004,NHS Ealing CCG,11465.530929999999,Ealing,Inner,51.5244,-0.31405,<75 Coronary Heart Disease Mortality Rate,70.77,Health - Mortality
1,2004,NHS East Berkshire CCG,15803.713430000002,East Berkshire,Outer,51.4541,-0.6802600000000001,<75 Coronary Heart Disease Mortality Rate,62.29,Health - Mortality
2,2004,NHS Hammersmith And Fulham CCG,16573.14549,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease Mortality Rate,65.68,Health - Mortality
3,2004,NHS Herts Valleys CCG,29114.52213,Watford,Outer,51.7317,-0.45521000000000006,<75 Coronary Heart Disease Mortality Rate,48.24,Health - Mortality
4,2004,NHS Hillingdon CCG,7458.185529,Hillingdon,Inner,51.5366,-0.4418,<75 Coronary Heart Disease Mortality Rate,62.34,Health - Mortality
5,2004,NHS Hounslow CCG,5336.9847119999995,Hounslow,Inner,51.4624,-0.37847,<75 Coronary Heart Disease Mortality Rate,74.39,Health - Mortality
6,2004,NHS Kingston CCG,14640.30942,South West London,Inner,51.3929,-0.28371999999999997,<75 Coronary Heart Disease Mortality Rate,48.38,Health - Mortality
7,2004,NHS Merton CCG,19616.70838,South West London,Outer,51.4106,-0.18867,<75 Coronary Heart Disease Mortality Rate,46.83,Health - Mortality
8,2004,NHS Richmond CCG,11948.41495,South West London,Inner,51.4403,-0.28911,<75 Coronary Heart Disease Mortality Rate,51.52,Health - Mortality
9,2004,NHS Sutton CCG,23268.28951,South West London,Outer,51.3576,-0.17227,<75 Coronary Heart Disease Mortality Rate,48.54,Health - Mortality
10,2004,NHS Wandsworth CCG,17762.401869999998,South West London,Outer,51.4524,-0.20027999999999999,<75 Coronary Heart Disease Mortality Rate,62.6,Health - Mortality
11,2004,NHS North West Surrey CCG,12083.80783,Surrey Heartlands,Inner,51.3683,-0.5151899999999999,<75 Coronary Heart Disease Mortality Rate,52.68,Health - Mortality
12,2004,NHS Oxfordshire CCG,66982.40789,Oxford,Outer,51.7715,-1.29146,<75 Coronary Heart Disease Mortality Rate,51.04,Health - Mortality
13,2005,NHS Ealing CCG,11465.530929999999,Ealing,Inner,51.5244,-0.31405,<75 Coronary Heart Disease Mortality Rate,69.72,Health - Mortality
14,2005,NHS East Berkshire CCG,15803.713430000002,East Berkshire,Outer,51.4541,-0.6802600000000001,<75 Coronary Heart Disease Mortality Rate,56.84,Health - Mortality
15,2005,NHS Hammersmith And Fulham CCG,16573.14549,Hammersmith and Fulham,Outer,51.4873,-0.21735,<75 Coronary Heart Disease Mortality Rate,58.46,Health - Mortality
16,2005,NHS Herts Valleys CCG,29114.52213,Watford,Outer,51.7317,-0.45521000000000006,<75 Coronary Heart Disease Mortality Rate,46.05,Health - Mortality
17,2005,NHS Hillingdon CCG,7458.185529,Hillingdon,Inner,51.5366,-0.4418,<75 Coronary Heart Disease Mortality Rate,64.09,Health - Mortality
18,2005,NHS Hounslow CCG,5336.9847119999995,Hounslow,Inner,51.4624,-0.37847,<75 Coronary Heart Disease Mortality Rate,65.52,Health - Mortality
19,2005,NHS Kingston CCG,14640.30942,South West London,Inner,51.3929,-0.28371999999999997,<75 Coronary Heart Disease Mortality Rate,47.33,Health - Mortality
20,2005,NHS Merton CCG,19616.70838,South West London,Outer,51.4106,-0.18867,<75 Coronary Heart Disease Mortality Rate,39.57,Health - Mortality
21,2005,NHS Richmond CCG,11948.41495,South West London,Inner,51.4403,-0.28911,<75 Coronary Heart Disease Mortality Rate,46.67,Health - Mortality
22,2005,NHS Sutton CCG,23268.28951,South West London,Outer,51.3576,-0.17227,<75 Coronary Heart Disease Mortality Rate,46.8,Health - Mortality
23,2005,NHS Wandsworth CCG,17762.401869999998,South West London,Outer,51.4524,-0.20027999999999999,<75 Coronary Heart Disease Mortality Rate,56.2,Health - Mortality
24,2005,NHS North West Surrey CCG,12083.80783,Surrey Heartlands,Inner,51.3683,-0.5151899999999999,<75 Coronary Heart Disease Mortality Rate,48.51,Health - Mortality
25,2005,NHS Oxfordshire CCG,66982.40789,Oxford,Outer,51.7715,-1.29146,<75 Coronary Heart Disease Mortality Rate,45.97,Health - Mortality
26,2006,NHS Berkshire West CCG,49791.742289999995,Reading,Outer,51.4458,-1.16963,<75 Coronary Heart Disease Mortality Rate,50.28,Health - Mortality
27,2006,NHS Ealing CCG,11465.530929999999,Ealing,Inner,51.5244,-0.31405,<75 Coronary Heart Disease Mortality Rate,72.51,Health - Mortality
28,2006,NHS East Berkshire CCG,15803.713430000002,East Berkshire,Outer,51.4541,-0.6802600000000001,<75 Coronary Heart Disease Mortality Rate,55.23,Health - Mortality
